NO_ORGAO,NO_CARGO_ORIGEM,count_gr_mat,cotas,Percentual.cotas
ADVOCACIA-GERAL DA UNIAO,,662,130,0.2
AGENCIA BRASILEIRA DE INTELIGENCIA,,72,3,0.04
AGENCIA ESPACIAL BRASILEIRA,,27,7,0.26
AGENCIA NAC. DE TRANSPORTES AQUAVIARIOS,,18,9,0.5
AGENCIA NAC. DE TRANSPORTES TERRESTRES,,43,4,0.09
AGENCIA NACIONAL DE AGUAS,,35,0,0
AGENCIA NACIONAL DE AVIACAO CIVIL,,69,11,0.16
AGENCIA NACIONAL DE ENERGIA ELETRICA,,34,1,0.03
AGENCIA NACIONAL DE MINERACAO,,211,1,0
AGENCIA NACIONAL DE SAUDE SUPLEMENTAR,,29,2,0.07
AGENCIA NACIONAL DE TELECOMUNICACOES,,40,9,0.22
AGENCIA NACIONAL DE VIGILANCIA SANITARIA,,43,11,0.26
AMAZONIA AZUL TECNOLOGIAS DE DEFESA SA,,343,75,0.22
CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS,,89,12,0.13
CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA,,211,49,0.23
COLEGIO PEDRO II,,183,41,0.22
COMANDO DA MARINHA,,1,0,0
COMISSAO DE VALORES MOBILIARIOS,,86,16,0.19
COMPANHIA BRASILEIRA DE TRENS URBANOS,,9,0,0
COMPANHIA DESENV. DO VALE SAO FRANCISCO,,309,17,0.06
CONSELHO NAC.DE DESEN.CIEN.E TECNOLOGICO,,54,1,0.02
CONTROLADORIA-GERAL DA UNIAO,,86,16,0.19
DEPARTAMENTO DE POLICIA FEDERAL,,34,3,0.09
DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.,,91,19,0.21
DEPTO. DE POLICIA RODOVIARIA FEDERAL,,547,65,0.12
EMPRESA BRAS. DE SERVICOS HOSPITALARES,,12444,1465,0.12
EMPRESA BRASILEIRA DE PESQ. AGROPECUARIA,,255,37,0.15
EMPRESA DE PESQUISA ENERGETICA,,139,0,0
EMPRESA DE TRENS URBANOS DE PORTO ALEGRE,,17,6,0.35
FUND COORD APERF PESSOAL NIVEL SUPERIOR,,49,9,0.18
FUND. INST. BRASIL. GEOG. E ESTATISTICA,,596,127,0.21
FUND. UNIV FEDERAL DA GRANDE DOURADOS,,138,22,0.16
FUND. UNIVERSIDADE DE SAO JOAO DEL REI,,84,5,0.06
FUND. UNIVERSIDADE FEDERAL DE RONDONIA,,174,15,0.09
FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE,,62,7,0.11
FUND.UNIV.FED.DO VALE DO SAO FRANCISCO,,54,13,0.24
FUNDACAO NACIONAL DOS POVOS INDIGENAS,,325,59,0.18
FUNDACAO OSWALDO CRUZ,,298,64,0.21
FUNDACAO UNIV. FEDERAL DE OURO PRETO,,112,16,0.14
FUNDACAO UNIV. FEDERAL DE UBERLANDIA,,256,33,0.13
FUNDACAO UNIVERSIDADE DE BRASILIA,,335,47,0.14
FUNDACAO UNIVERSIDADE DO AMAZONAS,,252,24,0.1
FUNDACAO UNIVERSIDADE DO MARANHAO,,182,1,0.01
FUNDACAO UNIVERSIDADE FED. DO TOCANTINS,,113,14,0.12
FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,,173,30,0.17
FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,,200,31,0.16
FUNDACAO UNIVERSIDADE FEDERAL DO ABC,,90,6,0.07
FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA,,73,2,0.03
FUNDACAO UNVERSIDADE FEDERAL DO AMAPA,,40,1,0.03
FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO,,95,20,0.21
GOVERNO DO EX-TERRITORIO DO AMAPA,,1,0,0
HOSPITAL DE CLINICAS DE PORTO ALEGRE,,1825,231,0.13
INST NAC DE TECN DA INFORMACAO,,1,0,0
INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS,,579,48,0.08
"INST.NAC.METROLOGIA,NORM.E QUAL.INDL.",,89,20,0.22
INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS,,33,7,0.21
INSTITUTO CHICO MENDES CONSERV.BIODIVER.,,351,65,0.19
INSTITUTO DE PESQ. JARDIM BOTANICO DO RJ,,20,2,0.1
INSTITUTO DE PESQUISA ECONOMICA APLICADA,,88,18,0.2
INSTITUTO DO PATR.HIST.E ART. NACIONAL,,101,25,0.25
INSTITUTO FED. DO NORTE DE MINAS GERAIS,,86,14,0.16
INSTITUTO FED.DO SUDESTE DE MINAS GERAIS,,35,6,0.17
